name,tool_0,tool_1,tool_2,tool_3,tool_4,tool_5,tool_6,tool_7,tool_8,tool_9
task_0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
task_13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
task_14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
task_15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
task_16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
task_17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
task_18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
task_19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
task_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
task_21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
task_22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
task_23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
task_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
task_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
task_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
task_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
task_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
task_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
